Food,Serving Size,Serving Unit,Label Units,Measure,Sodium (mg),Potassium (mg),Protein (g),Calories,Cholesterol (mg),Carbs (g),Fat (g),Sat Fat (g),Mono Fat (g),Poly Fat (g),Sugar (g),Calcium (mg),Magnesium (mg),Iron (mg),USDA,Source
"Sweet potatoes, orange flesh, without skin, raw",100,Standard Weight,100,gram,0,486.4,1.578125,,,17.327875,0.375,,,,,22.33,19.14,0.398,,
"Tomato, puree, canned",100,Standard Weight,100,gram,29.36,416.4,1.578125,,,8.036875,0.265,,,,,17.64,19.33,1.237,,
"Tomato, sauce, canned, with salt added",100,Standard Weight,100,gram,416.9,355.5,1.351875,,,6.331625,0.3825,,,,,17.1,18.73,1.107,,
Tuna (4oz),,,1,cup,50,400,28,120,45, -   ,0.5, -   , -   , -   , -   ,5,23,1,,
"Unsalted butter (0.18 oz, 1 Pat)",5,g,1,pat, -   ,3,0.2,36,10.8, -   ,4,2.6,105, -   , -   ,3, -   ,,,
Wasa Crispbread (1),,,1,Slice,28.3,18,0.7,20, -   ,4.7,0.2, -   , -   , -   ,0.3,1.7,4,,,
Wasa Light Rye (1 cracker),,,1,Slice,35,43,1,30,,7.5,,,,,,4.5,,0.5,,
Watermelon (1 cup),,,1,cup,2,170,0.9,46, -   ,11.5,0.2, -   , -   , -   ,9.4,11,15,,,
White Rice (1/4 cup),,,0.25,cup, -   ,50,3,160, -   ,36,1.5, -   , -   , -   , -   ,16,19,1,,
"Whole Milk (1 cup, 3.25% fat)",,,1,cup,125,400,8,149,35,12,8,4.6,1.6,0.2,12,276,34,,,
"Wine (1 cup,147g, 5 fl oz) USDA, 12 g alcohol",147,g,1,cup,7.3,104,0.1,121, -   ,3.8, -   , -   ,1,1,1.4,13.2,14.7,0.4,,
"Yogurt, Greek, plain, whole milk",100,Standard Weight,100,gram,33.76,146.9,8.77888,,16.84,4.75402,4.394,2.393,0.9575,,,110.9,10.7,0,,
